*PLANT DORMANCY OUTPUT FILE
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
 1985 123     2     0 DORM   1.000 1.000 0.062   0.0  14.4 -19.0 0.350 0.200 0.010 0.440
@YEAR DOY   DAS   DAP   QDSD  PPGF  PPMF  PPTF  TSRD  TS1D  FRZ2  LV%D  SV%D  QV%D  RV%D
