*RZWQM2 OUTPUTS Version 3.27 Intel Fortran               Apr 29, 2016; 16:12:54


         SHAW E         SHAW T        SHAW ET        SHAW PT        RZ PT            AE            AT           SHAWE-AE
    1  0.000000       0.000000       0.002804       0.000000       0.000000       0.000000       0.000000       0.000000
    2  0.074626       0.000000       0.073432       0.000000       0.000000       0.074626       0.000000       0.000000
    3  0.071847       0.000000       0.069899       0.000000       0.000000       0.071850       0.000000      -0.000003
    4  0.000000       0.000000       0.002047       0.000000       0.000000       0.000000       0.000000      -0.000000
    5  0.115254       0.000000       0.113136       0.000000       0.000000       0.115254       0.000000      -0.000000
    6  0.060932       0.000000       0.061563       0.000000       0.000000       0.060932       0.000000      -0.000000
    7  0.047086       0.000000       0.047425       0.000000       0.000000       0.047087       0.000000      -0.000001
    8  0.000000       0.000000       0.004636       0.000000       0.000000       0.000000       0.000000       0.000000
    9  0.000000       0.000000      -0.002464       0.000000       0.000000       0.000000       0.000000       0.000000
   10  0.000000       0.000000       0.000758       0.000000       0.000000       0.000000       0.000000       0.000000
   11  0.000000       0.000000      -0.001657       0.000000       0.000000       0.000000       0.000000       0.000000
   12  0.000000       0.000000      -0.000282       0.000000       0.000000       0.000000       0.000000       0.000000
   13  0.000000       0.000000      -0.002745       0.000000       0.000000       0.000000       0.000000       0.000000
   14  0.000000       0.000000       0.001778       0.000000       0.000000       0.000000       0.000000       0.000000
   15  0.000000       0.000000       0.016802       0.000000       0.000000       0.000000       0.000000       0.000000
   16  0.000000       0.000000       0.004069       0.000000       0.000000       0.000000       0.000000       0.000000
   17  0.000000       0.000000       0.010212       0.000000       0.000000       0.000000       0.000000       0.000000
   18  0.031193       0.000000       0.018398       0.000000       0.000000       0.031193       0.000000       0.000000
   19  0.017281       0.000000       0.015502       0.000000       0.000000       0.017281       0.000000      -0.000000
   20  0.000000       0.000000       0.000615       0.000000       0.000000       0.000000       0.000000       0.000000
   21  0.000000       0.000000       0.003310       0.000000       0.000000       0.000000       0.000000       0.000000
   22  0.000000       0.000000       0.004627       0.000000       0.000000       0.000000       0.000000       0.000000
   23  0.000000       0.000000      -0.004356       0.000000       0.000000       0.000000       0.000000       0.000000
   24  0.000000       0.000000      -0.005654       0.000000       0.000000       0.000000       0.000000       0.000000
   25  0.000000       0.000000      -0.005520       0.000000       0.000000       0.000000       0.000000       0.000000
   26  0.000000       0.000000       0.001192       0.000000       0.000000       0.000000       0.000000       0.000000
   27  0.027456       0.000000       0.006323       0.000000       0.000000       0.027456       0.000000       0.000000
   28  0.000000       0.000000      -0.000553       0.000000       0.000000       0.000000       0.000000       0.000000
   29  0.000000       0.000000       0.011371       0.000000       0.000000       0.000000       0.000000       0.000000
   30  0.000000       0.000000      -0.000421       0.000000       0.000000       0.000000       0.000000       0.000000
